Feature,Mean_Absolute_SHAP
d3 (um),0.38387145500896236
d2 (um),0.3838714550089623
Pitch (um),0.2753790775548841
lambda,0.11166721321292011
Analyte,0.037813507199000625
d1 (um),0.027461979389107407
