Fold,Baseline_MSE,Augmented_MSE
1,0.12044135002138057,0.2739845604863094
2,0.3702140051205413,0.6403587587322183
3,0.14317922201663183,2.1489840782858676
4,0.17855054174051962,1.656167376591812
5,0.8288214170208521,0.6230964736685501
6,0.07892027292063088,0.09445396563421643
7,0.09770857852539143,0.8984162254157996
8,0.07101596295987624,0.08614575793045542
9,0.04108315601314396,0.23776615832577663
Average,0.21443716737099644,0.7399303727856671
Std Dev,0.23559542417163343,0.6820682221509546
