model,stage,train_s,predict_s_per_sample,predict_us_per_sample
SVR,fit only,0.0391224769999922,1.432659027778416e-05,14.326590277784161
SVR,with hyperparameter search,31.12225734500001,1.432659027778416e-05,14.326590277784161
GPR,fit only,0.5286853309999913,1.718231250001799e-05,17.182312500017993
ANN,500 epochs,30.560473480000013,0.0001537039583333,153.7039583333
WGAN-GP,"2000 epochs, generator only",847.218109682,,
