Fold,ANN_MSE
1,0.1709490730995152
2,0.1861406428765182
3,0.9080292872374706
4,1.2733746695427637
5,0.8568782699745792
6,0.15833232695356958
7,0.16093878646941118
8,0.23438328721083954
9,0.02923689133315993
