Fold,SVR_MSE,GPR_MSE
1,0.12770309244683006,0.1472774340430697
2,0.37856026555376704,0.3718778684847126
3,0.2567904703187716,0.13806223150334448
4,0.2123285681835708,0.1905543308625692
5,0.8294978007434578,0.7237301886970178
6,0.12061817316012464,0.07643128718655047
7,0.13122880120190597,0.08879135313792375
8,0.09637403078743335,0.07242898155661251
9,0.05977806912712732,0.18191227129808904
Average,0.2458754746136654,0.22122954964109884
Std Dev,0.2395948910661441,0.20938074338934945
